keyword1,dimension1,keyword2,dimension2,co_occurrence_count
空调,舒适度,成本,价格评价,3
收费,价格评价,贵,价格评价,2
贵,价格评价,收费,价格评价,14
价格,价格评价,贵,价格评价,73
价格,价格评价,便宜,价格评价,195
价格,价格评价,稳定,技术可靠性,4
贵,价格评价,便宜,价格评价,148
贵,价格评价,稳定,技术可靠性,2
便宜,价格评价,稳定,技术可靠性,3
打车,价格评价,便宜,价格评价,23
便宜,价格评价,共享,隐私保护,40
安全,安全关注,工资,价格评价,3
工资,价格评价,安全,隐私保护,3
刹车,安全关注,舒适,舒适度,3
空间,舒适度,便宜,价格评价,5
萝卜,价格评价,便宜,价格评价,15
安全,安全关注,刹车,安全关注,8
刹车,安全关注,安全,隐私保护,8
贵,价格评价,共享,隐私保护,20
费用,价格评价,贵,价格评价,20
开车,价格评价,便宜,价格评价,3
安全,安全关注,空调,舒适度,12
空调,舒适度,安全,隐私保护,12
贵,价格评价,优惠,价格评价,186
滴滴,价格评价,便宜,价格评价,6
公交车,价格评价,便宜,价格评价,4
出租车,价格评价,贵,价格评价,26
出租车,价格评价,优惠,价格评价,10
约车,价格评价,便宜,价格评价,3
外卖,价格评价,便宜,价格评价,2
平台,价格评价,便宜,价格评价,2
时间,价格评价,卫生,服务体验,2
油费,价格评价,便宜,价格评价,2
便宜,价格评价,要求,法规合规,11
滴滴,价格评价,贵,价格评价,2
安全,安全关注,态度,服务体验,7
态度,服务体验,安全,隐私保护,7
服务,价格评价,态度,服务体验,30
服务,服务体验,态度,服务体验,42
价格,价格评价,共享,隐私保护,12
安全,安全关注,收费,价格评价,4
收费,价格评价,安全,隐私保护,4
便宜,价格评价,成本,价格评价,27
技术,价格评价,便宜,价格评价,3
便宜,价格评价,技术,技术可靠性,10
费用,价格评价,便宜,价格评价,15
安全,安全关注,事故,安全关注,64
事故,安全关注,安全,隐私保护,64
安全,安全关注,价格,价格评价,16
价格,价格评价,安全,隐私保护,16
便宜,价格评价,经济,价格评价,4
社会,价格评价,稳定,技术可靠性,8
礼貌,服务体验,技术,技术可靠性,2
刹车,安全关注,一次,服务体验,2
舒适,舒适度,一次,服务体验,2
危险,安全关注,技术,价格评价,3
危险,安全关注,服务,服务体验,63
危险,安全关注,技术,技术可靠性,25
危险,安全关注,要求,法规合规,2
技术,价格评价,服务,服务体验,3
技术,价格评价,要求,法规合规,5
服务,服务体验,技术,技术可靠性,29
服务,服务体验,要求,法规合规,6
技术,技术可靠性,要求,法规合规,10
经济,价格评价,成本,价格评价,7
风险,安全关注,贵,价格评价,2
风险,安全关注,便宜,价格评价,5
风险,安全关注,成本,价格评价,3
价格,价格评价,成本,价格评价,24
贵,价格评价,成本,价格评价,5
便宜,价格评价,优惠,价格评价,124
效率,价格评价,成本,价格评价,5
单车,价格评价,便宜,价格评价,6
单车,价格评价,共享,隐私保护,6
危险,安全关注,故障,技术可靠性,6
成本,价格评价,服务,服务体验,17
安全,安全关注,车,价格评价,4
事故,安全关注,车,价格评价,2
车,价格评价,安全,隐私保护,4
优惠,价格评价,成本,价格评价,4
价格,价格评价,优惠,价格评价,97
安全,安全关注,便宜,价格评价,46
便宜,价格评价,安全,隐私保护,46
安全,安全关注,技术,价格评价,18
安全,安全关注,技术,技术可靠性,43
技术,价格评价,安全,隐私保护,18
技术,技术可靠性,安全,隐私保护,43
安全,安全关注,数据,隐私保护,24
技术,价格评价,数据,隐私保护,4
技术,技术可靠性,数据,隐私保护,22
数据,隐私保护,安全,隐私保护,24
安全,安全关注,路况,安全关注,5
安全,安全关注,贵,价格评价,11
安全,安全关注,共享,隐私保护,3
路况,安全关注,贵,价格评价,2
路况,安全关注,便宜,价格评价,4
路况,安全关注,共享,隐私保护,3
路况,安全关注,安全,隐私保护,5
贵,价格评价,安全,隐私保护,11
共享,隐私保护,安全,隐私保护,3
安全,安全关注,风险,安全关注,3
安全,安全关注,要求,法规合规,7
风险,安全关注,安全,隐私保护,3
要求,法规合规,安全,隐私保护,7
市场,价格评价,贵,价格评价,3
市场,价格评价,便宜,价格评价,3
空调,舒适度,便宜,价格评价,18
空调,舒适度,要求,法规合规,2
便宜,价格评价,收费,价格评价,12
优惠,价格评价,收费,价格评价,16
事故,安全关注,故障,技术可靠性,10
空调,舒适度,服务,服务体验,10
刹车,安全关注,危险,安全关注,4
事故,安全关注,应急,安全关注,2
事故,安全关注,价格,价格评价,8
事故,安全关注,贵,价格评价,3
事故,安全关注,共享,隐私保护,2
打车,价格评价,贵,价格评价,8
优惠,价格评价,数据,隐私保护,3
错误,技术可靠性,识别,技术可靠性,2
价格,价格评价,费用,价格评价,14
安全,安全关注,危险,安全关注,19
危险,安全关注,安全,隐私保护,19
约车,价格评价,贵,价格评价,4
贵,价格评价,服务,服务体验,12
便宜,价格评价,服务,服务体验,40
贵,价格评价,规定,法规合规,2
安全,安全关注,故障,技术可靠性,12
故障,技术可靠性,安全,隐私保护,12
系统,技术可靠性,导航,技术可靠性,5
安全,安全关注,系统,技术可靠性,18
故障,技术可靠性,系统,技术可靠性,29
系统,技术可靠性,安全,隐私保护,18
事故,安全关注,数据,隐私保护,4
便宜,价格评价,接送,服务体验,2
安全,安全关注,工作,价格评价,5
工作,价格评价,安全,隐私保护,5
安全,安全关注,安全性,价格评价,7
安全性,价格评价,安全,隐私保护,7
优惠,价格评价,划算,价格评价,6
危险,安全关注,路况,安全关注,3
事故,安全关注,系统,技术可靠性,11
安全,安全关注,驾驶,价格评价,9
驾驶,价格评价,态度,服务体验,2
驾驶,价格评价,安全,隐私保护,9
东西,价格评价,贵,价格评价,2
危险,安全关注,科技,价格评价,10
系统,技术可靠性,摄像头,隐私保护,3
地铁,价格评价,便宜,价格评价,2
事故,安全关注,撞车,安全关注,3
路况,安全关注,数据,隐私保护,5
驾驶,价格评价,便宜,价格评价,6
安全,安全关注,紧急,安全关注,5
紧急,安全关注,安全,隐私保护,5
优惠,价格评价,共享,隐私保护,6
便宜,价格评价,数据,隐私保护,5
安全,安全关注,礼貌,服务体验,4
礼貌,服务体验,安全,隐私保护,4
费用,价格评价,优惠,价格评价,17
人工,价格评价,贵,价格评价,4
人工,价格评价,便宜,价格评价,3
安全,安全关注,成本,价格评价,8
成本,价格评价,安全,隐私保护,8
紧急,安全关注,数据,隐私保护,2
数据,隐私保护,记录,隐私保护,2
网约车,价格评价,贵,价格评价,3
紧急,安全关注,躲避,安全关注,3
事故,安全关注,信号,价格评价,3
安全,安全关注,速度,价格评价,3
速度,价格评价,安全,隐私保护,3
安全,安全关注,稳定,技术可靠性,7
稳定,技术可靠性,安全,隐私保护,7
接送,服务体验,礼貌,服务体验,4
空调,舒适度,收费,价格评价,10
危险,安全关注,系统,技术可靠性,5
技术,技术可靠性,系统,技术可靠性,9
刹车,安全关注,事故,安全关注,5
刹车,安全关注,系统,技术可靠性,3
路况,安全关注,识别,技术可靠性,3
识别,技术可靠性,数据,隐私保护,5
事故,安全关注,规定,法规合规,3
技术,价格评价,故障,技术可靠性,4
技术,技术可靠性,故障,技术可靠性,10
事故,安全关注,牌照,法规合规,16
危险,安全关注,便宜,价格评价,11
态度,服务体验,技术,技术可靠性,4
标准,法规合规,要求,法规合规,2
规定,法规合规,要求,法规合规,3
安全,安全关注,法规,法规合规,4
法规,法规合规,安全,隐私保护,4
事故,安全关注,监控,隐私保护,3
事故,安全关注,技术,技术可靠性,12
礼貌,服务体验,合法,法规合规,2
安全,安全关注,摄像头,隐私保护,7
摄像头,隐私保护,安全,隐私保护,7
法规,法规合规,规定,法规合规,6
牌照,法规合规,共享,隐私保护,2
事故,安全关注,法规,法规合规,9
牌照,法规合规,合法,法规合规,4
上路,法规合规,合法,法规合规,3
法规,法规合规,合法,法规合规,2
合规,法规合规,合法,法规合规,11
应急,安全关注,系统,技术可靠性,2
事故,安全关注,经济,价格评价,2
法规,法规合规,监管,法规合规,2
安全,安全关注,应急,安全关注,5
应急,安全关注,安全,隐私保护,5
事故,安全关注,摄像头,隐私保护,4
监控,隐私保护,摄像头,隐私保护,3
事故,安全关注,汽车,价格评价,2
刹车,安全关注,记录,隐私保护,2
技术,价格评价,法规,法规合规,2
技术,技术可靠性,法规,法规合规,3
安全,安全关注,交通,价格评价,8
交通,价格评价,安全,隐私保护,8
事故,安全关注,交通,价格评价,8
合法,法规合规,规定,法规合规,2
安全,安全关注,卫生,服务体验,2
卫生,服务体验,共享,隐私保护,2
卫生,服务体验,安全,隐私保护,2
安全,安全关注,规定,法规合规,5
