Quarter,Patent
2006_Q1,2282.4
2006_Q2,2282.4
2006_Q3,4564.8
2006_Q4,6086.400000000001
2007_Q1,2591.1
2007_Q2,2591.1
2007_Q3,5182.2
2007_Q4,6909.6
2008_Q1,3150.9
2008_Q2,3150.9
2008_Q3,6301.8
2008_Q4,8402.4
2009_Q1,3784.6499999999996
2009_Q2,3784.6499999999996
2009_Q3,7569.299999999999
2009_Q4,10092.400000000001
2010_Q1,5049.45
2010_Q2,5049.45
2010_Q3,10098.9
2010_Q4,13465.2
2011_Q1,6955.8
2011_Q2,6955.8
2011_Q3,13911.6
2011_Q4,18548.8
2012_Q1,8390.85
2012_Q2,8390.85
2012_Q3,16781.7
2012_Q4,22375.600000000002
2013_Q1,9092.85
2013_Q2,9092.85
2013_Q3,18185.7
2013_Q4,24247.600000000002
2014_Q1,9745.199999999999
2014_Q2,9745.199999999999
2014_Q3,19490.399999999998
2014_Q4,25987.2
2015_Q1,11719.5
2015_Q2,11719.5
2015_Q3,23439.0
2015_Q4,31252.0
2016_Q1,15238.949999999999
2016_Q2,15238.949999999999
2016_Q3,30477.899999999998
2016_Q4,40637.200000000004
2017_Q1,18716.399999999998
2017_Q2,18716.399999999998
2017_Q3,37432.799999999996
2017_Q4,49910.4
2018_Q1,22468.8
2018_Q2,22468.8
2018_Q3,44937.6
2018_Q4,59916.8
2019_Q1,23578.95
2019_Q2,23578.95
2019_Q3,47157.9
2019_Q4,62877.200000000004
2020_Q1,27104.85
2020_Q2,27104.85
2020_Q3,54209.7
2020_Q4,72279.6
2021_Q1,27886.2
2021_Q2,27886.2
2021_Q3,55772.4
2021_Q4,74363.2
2022_Q1,28007.85
2022_Q2,28007.85
2022_Q3,56015.7
2022_Q4,74687.6
2023_Q1,29227.2
2023_Q2,29227.2
2023_Q3,58454.4
2023_Q4,77939.2
2024_Q1,17990.7
2024_Q2,17990.7
2024_Q3,35981.4
2024_Q4,47975.200000000004
